STRUCTURE;2-10;X;2;N;1;S;2;N
FFIRN;1373/003;1072/003;1025/002;1072/003
FIELD USE DESIGNATOR;SUBMARINE READING ROUTINE SLOT;BROADCAST SLOT TIME IN MINUTES;HYPHEN;BROADCAST SLOT TIME IN MINUTES
