STRUCTURE;1-5;NS;1;A;1-5;NS;1;A;1-5;NS;1-2;A
FFIRN;1023/019;1025/007;1023/019;1025/007;1023/019;1008/022
FIELD USE DESIGNATOR;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 5 CHAR MAX;DISTANCE DELIMITER;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 5 CHAR MAX;DISTANCE DELIMITER;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 5 CHAR MAX;UNIT OF LINEAR MEASUREMENT, AIR CARGO
