STRUCTURE;2;N;2;N;1;S;4;N;1;A;3;N;2;N;1;S;4;N;1;A
FFIRN;1039/001;1041/002;1025/003;1794/002;1030/002;1040/001;1041/003;1025/003;1794/003;1030/003
FIELD USE DESIGNATOR;LATITUDE, DEGREES;LATITUDE MINUTE (ANGULAR);DECIMAL POINT;TEN THOUSANDTHS OF MINUTE OF LATITUDE;LATITUDINAL HEMISPHERE;LONGITUDE, DEGREES;LONGITUDE MINUTE (ANGULAR);DECIMAL POINT;TEN THOUSANDTHS OF MINUTE OF LONGITUDE;LONGITUDINAL HEMISPHERE
