STRUCTURE;1;N;1;S;1;N;1;S;1;N
FFIRN;1023/086;1025/002;1023/086;1025/002;1023/086
FIELD USE DESIGNATOR;CONTEXT QUANTITY, 0-6;HYPHEN;CONTEXT QUANTITY, 0-6;HYPHEN;CONTEXT QUANTITY, 0-6
