STRUCTURE;2;N;2;A;2;N;3;A;2;N;3;A
FFIRN;1023/014;1008/086;1023/015;1008/087;1023/015;1008/036
FIELD USE DESIGNATOR;CONTEXT QUANTITY, 00-99;UNIT OF TIME MEASUREMENT, HOUR;CONTEXT QUANTITY, 00-59;UNIT OF TIME MEASUREMENT, MINUTE;CONTEXT QUANTITY, 00-59;UNIT OF TIME MEASUREMENT, SECONDS
