STRUCTURE;2-3;A;3;N;1;S;2-3;A;3;N
FFIRN;1130/023;1255/001;1025/002;1130/023;1255/001
FIELD USE DESIGNATOR;AIR SPACE BAND DATA QUALIFIER;ALTITUDE IN HUNDREDS OF FEET;HYPHEN;AIR SPACE BAND DATA QUALIFIER;ALTITUDE IN HUNDREDS OF FEET
