STRUCTURE;1;N;1;S;1;N
FFIRN;1012/253;1025/008;1012/253
FIELD USE DESIGNATOR;CELL SEQUENCE NUMBER;PUNCTUATION MARK, COMMA;CELL SEQUENCE NUMBER
