STRUCTURE;1-3;N;1;S;1-3;N
FFIRN;1634/003;1025/002;1634/003
FIELD USE DESIGNATOR;LINK-16 TIME SLOT SET IDENTIFIER;HYPHEN;LINK-16 TIME SLOT SET IDENTIFIER
