STRUCTURE;1;A;1-2;A;1;S;1;A;1-2;A
FFIRN;1246/014;1246/015;1025/002;1246/014;1246/015
FIELD USE DESIGNATOR;SHIP ALPHABETIC IDENTIFIER;POINT ALPHABETIC IDENTIFIER;HYPHEN;SHIP ALPHABETIC IDENTIFIER;POINT ALPHABETIC IDENTIFIER
