STRUCTURE;3-5;A;1;B;3-5;A;1;B;3-5;A;1;B;1;S;3;N;1;S
FFIRN;1128/003;1025/004;1128/003;1025/004;1128/003;1025/004;1025/005;1146/003;1025/006
FIELD USE DESIGNATOR;PHONETIC NUMERIC IDENTIFIER;BLANK/SPACE CHARACTER;PHONETIC NUMERIC IDENTIFIER;BLANK/SPACE CHARACTER;PHONETIC NUMERIC IDENTIFIER;BLANK/SPACE CHARACTER;LEFT PARENTHESIS;ROE NUMERIC INDICATOR (THREE DIGITS);RIGHT PARENTHESIS
