STRUCTURE;1;A;4-6;NS;1;S;1;B;1;A;4-6;NS
FFIRN;1246/035;1023/085;1025/008;1025/004;1246/036;1023/085
FIELD USE DESIGNATOR;CARTESIAN COORDINATE, X;CONTEXT QUANTITY, -99.99 TO 99.99;PUNCTUATION MARK, COMMA;BLANK/SPACE CHARACTER;CARTESIAN COORDINATE, Y;CONTEXT QUANTITY, -99.99 TO 99.99
