FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LINK 16 TERMINAL TEST MODE; ; ;1593/002;5-6;AN
2 M;INTERFERENCE PROTECTION FEATURE OVERRIDE; ; ;1593/005;3-6;A
3 M;LINK 16 RANGE MODE; ; ;1593/004;3;A
4 M;LINK 16 COMMUNICATIONS MODE; ; ;1593/003;6;ANB
