FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;STANDARD ROUTE SYSTEM; ; ;1177/003;1-2;A
2 M;STANDARD ROUTE IDENTIFIER; ; ;1069/001;1-10;X
3 O;FIRST ROUTE POINT IDENTIFIER; ; ;1054/002;1-5;AN
4 O;LAST ROUTE POINT IDENTIFIER; ; ;1054/003;1-5;AN
5 O;FIRST POSITION DESIGNATOR; ; ;1053/002;1-2;A
6 O;LAST POSITION DESIGNATOR; ; ;1053/003;1-2;A
7 O;OFFSET DISTANCE; ; ;2059/005;2-7;ANS
8 O;ROUTE OFFSET DIRECTION; ; ;1178/003;4;A
