FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NATO AIRBORNE EARLY WARNING (NAEW) MAIN PROBLEM AREA; ; ;1574/002;3-6;AN
2 M;NATO AIRBORNE EARLY WARNING (NAEW) SUB-PROBLEM AREA; ; ;1574/003;3;A
3 M;COMMENTS; ; ;1357/001;1-68;X
