FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;EVALUATION OF INFORMATION; ; ;2054/001;2;AN
2 M;SOURCE TYPE OF INTELLIGENCE INFORMATION; ; ;1310/001;3-8;A
3 O;DTG, 4-DIGIT YEAR; ; ;2033/001;14;AN
