FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SAFETY ZONE REFERENCE IDENTIFIER; ; ;1246/031;1;A
2 M;SAFETY ZONE DISTANCE IN METERS; ; ;1657/004;1-3;N
