FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;HEADING; ;A ;1161/004;1-3;A
;ANGLE IN DEGREES: TRUE, GRID, MAGNETIC, OR RELATIVE; ;B ;2065/001;4;AN
2 O;RELATIVE HEIGHT, ALPHABETIC FORMAT; ; ;1333/001;2;A
3 O;GENERAL INDICATOR OF SPEED; ; ;1113/001;3-4;A
4 O;GENERAL AIRCRAFT CATEGORY; ; ;1301/002;4;A
5 O;AIRCRAFT FORMATION SIZE; ; ;1308/001;3-4;A
