FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ICAO BASE CODE; ; ;1125/002;4;AN
2 M;NUMBER OF ENGINES; ; ;1044/216;1-3;N
3 M;NUMBER OF ENGINES UNSERVICABLE; ; ;1044/217;1-2;N
4 C;COMMENTS; ; ;1357/001;1-68;X
