FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DIRECTION OF MOVEMENT; ;A ;1161/003;1-2;A
;DIRECTION IN DEGREES; ;B ;2321/001;6;AN
;DIRECTION IN MILS; ;C ;2322/001;7;AN
2 M;SPEED; ; ;2063/001;4-7;ANS
