FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ICAO BASE CODE; ; ;1125/002;4;AN
2 M;PETROLEUM, OIL, LUBRICANT (POL) STATUS; ; ;1236/022;3;A
3 C;COMMENTS; ; ;1357/001;1-68;X
