FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;EFFECTIVE WIND SPEED AND UNIT OF MEASUREMENT; ; ;2318/003;6;AN
2 M;DOWNWIND DISTANCE OF ZONE 1 AND UNIT OF MEASURE; ; ;2320/002;4-5;AN
3 O;CLOUD RADIUS AND UNIT OF MEASUREMENT; ; ;2316/002;3-4;AN
