FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;DTG OF OPENING, 4 DIGIT YR; ; ;2033/056;14;AN
2 O;DTG OF CLOSURE, 4 DIGIT YR; ; ;2033/057;14;AN
