FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;NUMBER OF ENEMY UNITS; ; ;1044/187;1-3;N
* 2 M;ENEMY MCM UNITS STATUS; ; ;1150/002;4-7;A
