FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;PROPELLANT TYPE; ; ;1562/001;5;A
* 2 M;NUMBER OF PROPELLANTS; ; ;1044/273;1-4;N
