FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;WATER DEPTH IN METRES; ; ;1247/003;1-3;N
2 M;TIDAL DIFFERENCE IN METRES; ; ;1014/002;1-3;N
