FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER, 1-9; ; ;1044/318;1;N
2 M;LANE WIDTH IN METRES; ; ;1658/016;1-4;NS
