FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER, 0-99; ; ;1044/354;1-2;N
2 M;AVERAGE DIAMETER IN METRES; ; ;1679/002;1-3;N
3 M;AVERAGE DEPTH IN METRES; ; ;1247/008;1-3;N
