FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DTG OF START, 4 DIGIT YR;FROM; ;2033/029;14;AN
2 M;DTG OF STOP, 4 DIGIT YR;TO; ;2033/030;14;AN
3 O;AS OF DTG, 4 DIGIT YR;ASOF; ;2033/054;14;AN
