FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;BEARING, DEGREES TRUE, MAGNETIC, GRID, OR RELATIVE; ; ;2254/001;4;AN
2 M;DISTANCE, YD, KYD, M, KM, OR NM; ; ;2268/001;2-8;ANS
3 M;UNIT; ; ;1022/057;1-30;X
4 M;DATE-TIME MONTH, VERIFIED; ; ;2032/001;11;AN
5 M;STATION, LAT/LONG, MINUTES, VERIFIED; ; ;2043/010;14;ANS
6 O;COURSE, DEGREES TRUE OR MAGNETIC; ; ;2259/001;4;AN
7 O;SPEED, KNOTS; ; ;2265/001;4-7;ANS
