FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NATO STOCK NUMBER; ; ;1012/061;16;NBS
2 M;BATCH NUMBER; ; ;1012/062;1-10;X
3 M;LOT NUMBER; ; ;1012/063;1-10;X
4 C;NATIONAL SHORT CODE; ; ;1012/064;1-17;X
