FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CRYPTOVARIABLE LOGICAL LABEL (CVLL); ; ;1012/212;1-3;N
* 2 M;SECURE DATA UNIT (SDU) LOCATION NUMBER; ; ;1012/153;1;N
