FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;INITIATION METHOD; ; ;1601/002;1;A
2 M;FIRING CIRCUIT; ; ;1601/003;1;A
