FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DIRECTION OF MOVEMENT; ; ;1161/003;1-2;A
2 O;DAY-TIME EFFECTIVE; ; ;2000/013;7;AN
3 O;SPEED IN KILOMETRES PER HOUR; ; ;1267/001;1-4;N
