FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;INTERNATIONAL RADIO CALL SIGN; ; ;1129/003;4-8;AN
2 M;SHIP NAME; ; ;1022/049;1-38;X
3 M;NAVAL SHIP TYPE; ; ;1036/003;2-4;A
4 M;FLAG; ; ;1026/003;2;A
5 O;FREQUENCY SPECTRUM DESIGNATOR; ; ;1175/001;2-6;AS
6 O;NUMBER OF OPERATORS;OP; ;1044/101;1;N
7 O;CRYPTO SYSTEM DESIGNATOR; ; ;1176/001;3-8;AN
8 O;SPECIAL SHIP IDENTIFIER; ; ;1169/001;1;A
