FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CRYPTO KEYING MATERIAL; ; ;1078/004;8-10;AN
* 2 M;CIRCUIT TITLE; ; ;1022/142;1-30;X
* 3 M;CALL SIGN SYSTEM NAME; ; ;1022/138;1-38;X
