FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CARGO WEIGHT IN METRIC TONS;MTONS; ;1050/006;1-5;N
2 M;CARGO VOLUME IN CUBIC METRES;CUBE; ;1063/006;1-5;N
3 O;CARGO WEIGHT IN LONG TONS;LTONS; ;1167/002;1-5;N
4 O;CARGO VOLUME IN MEASUREMENT TONS;MEATN; ;1168/002;1-5;N
