FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;SEA STATE; ; ;1392/001;1;N
2 O;DESCRIPTION OF WAVE TYPE; ; ;1363/040;1-15;X
3 O;ESTIMATED DIRECTION OF CURRENT (COMPASS POINT); ; ;1161/006;1-3;A
4 O;DESCRIPTION OF SEA ICE CONDITIONS; ; ;1363/041;1-20;X
5 O;CLOUD TYPE; ; ;1388/001;2;A
6 O;CLOUD COVER; ; ;1387/001;1;N
7 O;DESCRIPTION OF SURFACE CONDITION; ; ;1363/042;1-30;X
