FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DIRECTION OF RADIOACTIVE CLOUD IN DEGREES; ;A ;2321/003;6;AN
;DIRECTION OF RADIOACTIVE CLOUD IN MILS; ;B ;2322/003;7;AN
