FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;DTG MOVEMENT TO START, 4 DIGIT YR; ; ;2033/047;14;AN
2 O;DTG MOVEMENT TO END, 4 DIGIT YR; ; ;2033/048;14;AN
