FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CLOUD BASE HEIGHT; ; ;1162/001;3;N
2 O;MEAN REFRACTIVE INDEX; ; ;1689/001;3;N
