FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;CLOUD SECTION; ; ;1332/001;3;A
* 2 M;CLOUD HEIGHT AND UNIT OF MEASUREMENT; ;A;2314/003;2-7;AN
;ANGULAR CLOUD HEIGHT IN DEGREES; ;B;2315/003;6;AN
;ANGULAR CLOUD HEIGHT IN MILS; ;C;2317/003;7;AN
