FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;KVC(I) SHORT TITLE IDENTIFIER; ; ;1519/003;8-15;X
2 M;KVB(I) SHORT TITLE IDENTIFIER; ; ;1519/002;8-15;X
3 M;KVO(I) SHORT TITLE IDENTIFIER; ; ;1519/005;8-15;X
4 M;KVE(I) SHORT TITLE IDENTIFIER; ; ;1519/004;8-15;X
5 M;KVT(I) SHORT TITLE IDENTIFIER; ; ;1519/006;8-15;X
