FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;LAYER INDICATOR; ; ;1329/001;2;N
* 2 M;WIND DIRECTION IN DEGREES; ;A;1043/003;3-5;NS
;WIND DIRECTION IN MILS; ;B;1048/003;4;N
* 3 M;WIND SPEED; ; ;1525/002;3;N
