FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ALTITUDE IN FEET ABOVE GROUND LEVEL (AGL); ; ;1290/002;1-5;N
2 M;SPEED IN KNOTS; ; ;1061/001;1-4;NS
