FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MESSAGE PART IDENTIFIER; ; ;1102/002;1-2;AN
2 O;MESSAGE PART DENOMINATION; ; ;1081/001;1-10;X
3 O;SECURITY CLASSIFICATION, ABBREVIATED; ; ;1288/001;1-6;AB
4 O;PART TITLE; ; ;1356/002;1-30;X
5 O;SPECIAL HANDLING DESIGNATOR; ; ;1101/001;4-15;AB
