FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;DAY-TIME SHIFT; ; ;2000/024;7;AN
* 2 M;MERCAST AREA DESIGNATOR; ; ;1180/001;1-4;A
