FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MINE LAYING METHOD; ; ;1459/003;2;A
2 M;TIME PERIOD IN MINUTES; ; ;1072/001;1-4;NS
