FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER OF DEPLOYMENTS STARTING IN NEXT 24 HOURS; ; ;1044/314;1-3;N
2 M;NUMBER OF DEPLOYMENTS STARTING IN NEXT 48 HOURS; ; ;1044/315;1-3;N
