FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 C;CRATER INDICATOR; ; ;1526/001;3-6;A
2 C;CRATER WIDTH AND UNIT OF MEASUREMENT; ; ;2314/002;2-7;AN
3 C;TERRAIN/TOPOGRAPHY  DESCRIPTION; ; ;1289/005;3-6;A
4 C;VEGETATION DESCRIPTION; ; ;1206/002;3-5;A
