FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 C;NUMBER OF VOLLEYS/ROCKETS; ; ;1044/255;1-2;N
* 2 C;FIRE FOR EFFECT PROJECTILE; ; ;1560/005;3;A
* 3 C;FIRE FOR EFFECT FUZE; ; ;1192/006;2-3;A
