FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ICAO BASE CODE; ; ;1125/002;4;AN
2 M;PERCENTAGE OF MISSION SUPPORT KITS ON HAND;MSK; ;1064/040;1-3;N
3 M;PERCENTAGE OF BASIC SPARES KITS ON HAND;BSK; ;1064/041;1-3;N
