FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TASKED UNIT DESIGNATOR; ; ;1028/041;1-30;X
2 O;ICAO BASE CODE;ICAO;A;1125/002;4;AN
;PLACE NAME;NAME;B;1022/170;1-20;X
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;C;2023/001;11;AN
3 O;COMMENTS; ; ;1357/001;1-68;X
