FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LENGTH IN METRES, 1-999; ; ;1657/014;1-3;N
2 M;WIDTH IN METRES, 1-999; ; ;1658/018;1-3;N
3 M;HEIGHT IN METRES, 0-999; ; ;1651/006;1-3;N
