FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LOCATION, UTM 1-METRE; ;A ;2089/020;15;AN
;LOCATION, UTM 10-METRE; ;B ;2086/020;13;AN
;LOCATION, UTM 100-METRE; ;C ;2087/020;11;AN
;LOCATION, UTM 1,000-METRE; ;D ;2088/020;9;AN
