FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FREQUENCY BAND AND CHANNEL; ;A ;2136/001;2-4;AN
;RADIO FREQUENCY; ;B ;2064/001;3-14;ANS
;FREQUENCY DESIGNATOR;DESIG;C ;1396/001;1-8;AN
2 O;MODULATION TYPE; ; ;1498/001;2-5;A
3 O;SIGNAL STRENGTH; ; ;1497/001;3;A
