FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER AND TYPE OF MINELAYING AIRCRAFT;ACFT;A;2227/001;4-5;AN
;NUMBER AND TYPE OF MINELAYING SURFACE VESSELS; ;B;2228/001;3-6;AN
;NUMBER AND TYPE OF MINELAYING SUBMARINES; ;C;2229/001;3-6;AN
* 2 O;TYPE AND NUMBER OF MINES IN STOCK; ; ;2242/001;8-11;ANS
