FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ASSISTED UNIT CALL SIGN; ; ;1129/028;1-38;X
2 M;RADIO FREQUENCY; ; ;2064/001;3-14;ANS
