FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TIME RELATIVE TO H-HOUR IN MINUTES; ; ;1072/022;1-4;NS
2 C;DURATION OF FIRE IN MINUTES RELATIVE TO H-HOUR; ; ;1072/023;1-2;N
