FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DTG OF START, 4 DIGIT YR; ; ;2033/029;14;AN
2 M;DTG OF STOP, 4 DIGIT YR; ; ;2033/030;14;AN
