FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;MISSION NUMBER;1;MSNNO; ; ;1012/069;1-8;X;L
2 M;CALL SIGN OF SAR UNIT;10;CALLSIGN; ; ;1129/012;1-17;X;L
3 M;ACTIVITY TYPE;28;ACTTYP; ; ;1299/001;1-8;A;L
4 O;PRIMARY FREQUENCY IN MEGAHERTZ;37;PRIFRQ; ;A;1068/003;3-8;NS;L
;PRIMARY FREQUENCY DESIGNATOR;null;PRIFRQ; ;B;1396/002;1-8;AN;L
5 O;SECONDARY FREQUENCY IN MEGAHERTZ;46;SECFRQ; ;A;1068/004;3-8;NS;L
;SECONDARY FREQUENCY DESIGNATOR;null;SECFRQ; ;B;1396/003;1-8;AN;L
6 O;OTHER SAR UNIT COMMENTS;55;CMNT; ; ;1357/010;1-14;X;L
