FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FIRST SELECTED FUZE; ; ;1192/004;2-3;A
2 O;SECOND SELECTED FUZE; ; ;1192/005;2-3;A
