FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SHIP NAME; ;A;1022/049;1-38;X
;SHIP NICKNAME;NICKNAME;B ;1022/038;1-38;X
2 M;INTERNATIONAL RADIO CALL SIGN; ; ;1129/003;4-8;AN
