FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UTM 1-METRE HIGHER ORDER EASTING; ; ;1058/002;6;N
2 M;UTM 1-METRE HIGHER ORDER NORTHING; ; ;1060/002;7-8;N
3 M;ALTITUDE IN METRES; ; ;1186/001;1-5;NS
