FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;APPROACH VEGETATION RIGHT BANK; ; ;1206/004;1;A
2 M;APPROACH VEGETATION LEFT BANK; ; ;1206/003;1;A
